Index,Company ,Company Twitter 
0,Microsoft Corporation,@Microsoft
1,Apple Inc. ,@Apple
2,Amazon Inc. ,@Amazon
3,Facebook Inc. Class A ,@facebook
4,Berkshire Hathaway Inc. Class B,
5,JPMorgan Chase & Co. ,@jpmorgan
6,Alphabet Inc. Class C,@Google
7,Alphabet Inc. Class A,
8,Johnson & Johnson,@JNJCares
9,Visa Inc. Class A,@Visa
10,Procter and Gamble Company,@ProcterGamble
11,Exxon Mobil Corporation,@exxonmobil
12,AT&T Inc. ,@ATT
13,Bank of America Corp,@BankofAmerica
14,Walt Disney Company ,@WaltDisneyCo
15,UnitedHealth Group Incorporated ,@UnitedHealthGrp
16,Intel Corporation,@intel
17,Mastercard Incorporated Class A,@Mastercard
18,Verizon Communications Inc. ,@verizon
19,Home Depot Inc. ,@HomeDepot
20,Chevron Corporation,@Chevron
21,Merck & Co Inc.,@Merck
22,Wells Fargo Company,@WellsFargo
23,Pfizer Inc.,@pfizer
24,Coca-Cola Company,@CocaCola
25,Comcast Corporation Class A,@comcast
26,Boeing Company ,@Boeing
27,Cisco Systems Inc.,@Cisco
28,PepsiCo Inc.,@pepsi
29,walmart Inc.,@Walmart
30,Citigroup Inc.,@Citi
31,Medtronic Plc,@Medtronic
32,Abbot Laboratories ,@AbbottGlobal
33,McDonald's Corporation,@McDonalds
34,Adobe Inc.,@Adobe
35,salesforce.com inc.,@salesforce
36,Amgen Inc. ,@Amgen
37,Netflic Inc.,@netflix
38,Bristol-Myers Squibb Company,@bmsnews
39,Costco Wholesale Corpaoration,@Costco
40,Philip Morris International Inc. ,@InsidePMI
41,NVIDIA Corporation,@nvidia
42,Accenture Plc Class A,@Accenture
43,Thermo Fisher Scientific Inc.,@thermofisher
44,Honeywell International Inc. ,@honeywell
45,PayPal Holdings Inc.,@PayPal
46,Broadcom Inc.,@Broadcom
47,Union Pacific Corporation,@UnionPacific
48,Oracle Corporation,@Oracle
49,Nike Inc. Class B ,@Nike
50,International Business Machines Corporation,@IBM
51,NextEta Energy Inc. ,@nexteraenergy
52,Texas Instruments Incorporated,@TXInstruments
53,Linde plc,@Lindeplc
54,Eli Lilly and Company ,@LillyPad
55,Starbucks Corporation,@Starbucks
56,CVS Health Corporation,@CVSHealth
57,Lockheed Martin Corporation,@LockheedMartin
58,American Tower Corporation ,
59,3M Company ,@3M
60,QUALCOMM Incorporated,@Qualcomm
61,Danaher Corporation,@DanaherCareers
